@lat	@lon	addr:street	addr:housenumber	name
50.0129598	19.9505279	Porucznika Jerzego Halszki	3A	Euronet
50.0709922	19.9001607	Armii Krajowej	10	Circle K
50.0332187	19.9393586	Wadowicka	6	Życzliwa Apteka
50.0559631	19.9461017	Starowiślna	28	Galen
50.0973739	19.9592667	Kuźnicy Kołłątajowskiej	13	UP Kraków 70
50.0264036	19.9118498	Kobierzyńska	93	Urząd Pocztowy Kraków 11
50.0181888	19.9852090	Na Kozłówce	18	Lewiatan
50.0080910	19.9488050	Porucznika Jerzego Halszki	29	Curry & Tandoor House
50.0938768	20.0323638	Zakładowa	3A	Zajazd Szlachecki
50.0531511	19.9433172	Józefa Dietla	55	Lala Seoul
50.0687933	20.0551229	Tadeusza Ptaszyckiego	9	Szkoła Podstawowa Specjalna nr 79
50.0688013	20.0554866	Tadeusza Ptaszyckiego	9	Szkoła Specjalna Przysposabiająca do Pracy nr 7
50.0843456	19.9638030	Bosaków	11	FUP Kraków 73
50.0073552	19.8967699	Zawiła	65A	ARTUS
50.0321212	19.9224354	Kobierzyńska	23a	Pizza Accanto
50.0169734	19.8980125	Chmieleniec	39	Filia Urzędu Pocztowego Kraków 11
50.0140461	19.8973881	Skośna	2	Przedszkole Samorządowe nr 58
50.0144459	19.8902483	Doktora Jana Piltza	43	Groszek
50.0868673	19.9256749	Rusznikarska	14A	Żabka
50.0284656	19.9170234	Zygmunta Miłkowskiego	21	Klinika Piękna
50.0265963	19.9145075	Ruczaj	62a	Fitness Klub
50.0330006	19.9369943	Rzemieślnicza	1 pok. 805	
50.0567973	19.9576594	Rzeźnicza	4	Technikum Ekonomiczne i Elektroniczne nr 23
50.0567842	19.9570343	Rzeźnicza	4	XXII Liceum Profilowane
50.0567461	19.9572915	Rzeźnicza	4	Zasadnicza Szkoła Zawodowa nr 24
50.0690774	20.0139011	Centralna	39	
50.0534428	20.0385365	Niepokalanej Marii Panny	111b	BMW Misiak
50.0884733	20.0805499	Mrozowa	31	
50.0800519	20.0665512	Ujastek	1	
50.0846738	20.0726569	Mrozowa	5	
50.0870186	20.0776514	Mrozowa	20a	
50.0792466	20.0682518	Ujastek	1	ArcelorMittal oddział Kraków (Huta im. Tadeusza Sendzimira)
50.0865084	20.0764992	Mrozowa	9	
50.0879586	20.0792480	Mrozowa	20b	
50.0635377	20.0075296	Centralna	53	
50.0669441	20.0065830	Na Łąkach	18	Naprawa chłodnic
50.0078555	19.9586315	Marii i Bolesława Wysłouchów	22A	Pozytywny Żłobek nr 3
50.0284151	19.9495212	Generała Henryka Kamieńskiego	11	
50.0878361	19.9814586	Generała Tadeusza Bora-Komorowskiego	37	Auchan
50.0734642	19.9148828	Królewska	59	Biblioteka Kraków Filia 21
50.0729414	19.9802515	Janusza Meissnera	30	Delikatesy Podwawelskie
50.0723281	19.9806212	Śliczna	3	Bąk Aneta. Salon fryzjerski
50.0855901	19.9684886	Olszecka	41	
50.0799773	19.9382884	Prądnicka	40	vipmyjnia
50.0799122	19.8710811	Samuela Bogumiła Lindego	22	Dom noclegowy
50.0663052	19.9724598	Mogilska	81	Circle K
